Ref_Wave,Test_Wave,MOS
Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir1/lpcnq.wav,3.823139469
Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir1/lpcnq.wav,4.122819767
Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir2/lpcnq.wav,4.312159404
Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir2/lpcnq.wav,3.054721495
Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir3/lpcnq.wav,3.351932004
Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir3/lpcnq.wav,3.891214735
Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir4/lpcnq.wav,3.710286068
Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir4/lpcnq.wav,3.548417842
Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir5/lpcnq.wav,3.5101505910000004
Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir5/lpcnq.wav,3.439382387
Genspeech/LPCNet_listening_test/mfall/dir6/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir6/lpcnq.wav,2.960255433
Genspeech/LPCNet_listening_test/vec18/dir6/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir6/lpcnq.wav,3.461780404
Genspeech/LPCNet_listening_test/mfall/dir7/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir7/lpcnq.wav,3.4079298510000005
Genspeech/LPCNet_listening_test/vec18/dir7/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir7/lpcnq.wav,4.155935658
Genspeech/LPCNet_listening_test/mfall/dir8/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir8/lpcnq.wav,3.32064297
Genspeech/LPCNet_listening_test/vec18/dir8/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir8/lpcnq.wav,3.425347116
Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir1/lpcnu.wav,4.188097335
Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir1/lpcnu.wav,4.875
Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir2/lpcnu.wav,4.762300688
Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir2/lpcnu.wav,4.1338688260000005
Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir3/lpcnu.wav,4.637970667
Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir3/lpcnu.wav,4.473444052
Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir4/lpcnu.wav,4.602751756
Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir4/lpcnu.wav,4.624649593
Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir5/lpcnu.wav,4.409693099999999
Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir5/lpcnu.wav,4.586875715
Genspeech/LPCNet_listening_test/mfall/dir6/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir6/lpcnu.wav,4.303802897
Genspeech/LPCNet_listening_test/vec18/dir6/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir6/lpcnu.wav,4.593535551
Genspeech/LPCNet_listening_test/mfall/dir7/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir7/lpcnu.wav,4.343118566
Genspeech/LPCNet_listening_test/vec18/dir7/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir7/lpcnu.wav,4.439526924
Genspeech/LPCNet_listening_test/mfall/dir8/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir8/lpcnu.wav,4.402463893
Genspeech/LPCNet_listening_test/vec18/dir8/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir8/lpcnu.wav,4.485601933
Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir1/melp.wav,2.2694926840000003
Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir1/melp.wav,2.471025543
Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir2/melp.wav,2.812428517
Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir2/melp.wav,2.328601759
Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir3/melp.wav,1.958214662
Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir3/melp.wav,2.185808235
Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir4/melp.wav,2.470719188
Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir4/melp.wav,2.260159001
Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir5/melp.wav,2.695005719
Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir5/melp.wav,2.21325772
Genspeech/LPCNet_listening_test/mfall/dir6/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir6/melp.wav,2.58754289
Genspeech/LPCNet_listening_test/vec18/dir6/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir6/melp.wav,2.540185379
Genspeech/LPCNet_listening_test/mfall/dir7/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir7/melp.wav,2.59697865
Genspeech/LPCNet_listening_test/vec18/dir7/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir7/melp.wav,2.5248970440000003
Genspeech/LPCNet_listening_test/mfall/dir8/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir8/melp.wav,2.625578514
Genspeech/LPCNet_listening_test/vec18/dir8/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir8/melp.wav,2.045493955
Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir1/opus.wav,4.253171546
Genspeech/OpusNet_listening_test/mfall/dir1/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir1/opus9.wav,3.700810449
Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir1/opus.wav,4.332443767
Genspeech/OpusNet_listening_test/vec18/dir1/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir1/opus9.wav,4.092215623
Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir2/opus.wav,3.895320805
Genspeech/OpusNet_listening_test/mfall/dir2/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir2/opus9.wav,4.158329345
Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir2/opus.wav,3.996670698
Genspeech/OpusNet_listening_test/vec18/dir2/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir2/opus9.wav,4.112307099
Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir3/opus.wav,4.3149346280000005
Genspeech/OpusNet_listening_test/mfall/dir3/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir3/opus9.wav,3.527438332
Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir3/opus.wav,4.543140011
Genspeech/OpusNet_listening_test/vec18/dir3/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir3/opus9.wav,4.277102062
Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir4/opus.wav,3.959098088
Genspeech/OpusNet_listening_test/mfall/dir4/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir4/opus9.wav,3.987682611
Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir4/opus.wav,4.364888654
Genspeech/OpusNet_listening_test/vec18/dir4/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir4/opus9.wav,3.699193433
Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir5/opus.wav,3.319338543
Genspeech/OpusNet_listening_test/mfall/dir5/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir5/opus9.wav,3.931971471
Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir5/opus.wav,4.339973313
Genspeech/OpusNet_listening_test/vec18/dir5/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir5/opus9.wav,3.715281819
Genspeech/LPCNet_listening_test/mfall/dir6/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir6/opus.wav,3.760722455
Genspeech/OpusNet_listening_test/mfall/dir6/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir6/opus9.wav,3.723724341
Genspeech/LPCNet_listening_test/vec18/dir6/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir6/opus.wav,4.040792985
Genspeech/OpusNet_listening_test/vec18/dir6/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir6/opus9.wav,4.007256795
Genspeech/LPCNet_listening_test/mfall/dir7/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir7/opus.wav,4.173274876
Genspeech/OpusNet_listening_test/mfall/dir7/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir7/opus9.wav,4.332489394
Genspeech/LPCNet_listening_test/vec18/dir7/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir7/opus.wav,4.522478665
Genspeech/OpusNet_listening_test/vec18/dir7/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir7/opus9.wav,3.459367852
Genspeech/LPCNet_listening_test/mfall/dir8/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir8/opus.wav,3.832478123
Genspeech/OpusNet_listening_test/mfall/dir8/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir8/opus9.wav,4.055941305
Genspeech/LPCNet_listening_test/vec18/dir8/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir8/opus.wav,3.858073125
Genspeech/OpusNet_listening_test/vec18/dir8/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir8/opus9.wav,4.36088649
Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir1/speex.wav,1.407801675
Genspeech/OpusNet_listening_test/mfall/dir1/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir1/speex.wav,1.424052735
Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir1/speex.wav,1.304422417
Genspeech/OpusNet_listening_test/vec18/dir1/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir1/speex.wav,1.206859362
Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir2/speex.wav,1.3598764330000002
Genspeech/OpusNet_listening_test/mfall/dir2/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir2/speex.wav,1.314551715
Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir2/speex.wav,1.274399543
Genspeech/OpusNet_listening_test/vec18/dir2/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir2/speex.wav,1.335937112
Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir3/speex.wav,1.181152026
Genspeech/OpusNet_listening_test/mfall/dir3/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir3/speex.wav,1.263859597
Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir3/speex.wav,1.490457015
Genspeech/OpusNet_listening_test/vec18/dir3/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir3/speex.wav,1.316505356
Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir4/speex.wav,1.740571047
Genspeech/OpusNet_listening_test/mfall/dir4/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir4/speex.wav,1.597624533
Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir4/speex.wav,1.385408491
Genspeech/OpusNet_listening_test/vec18/dir4/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir4/speex.wav,1.42920499
Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir5/speex.wav,1.258149066
Genspeech/OpusNet_listening_test/mfall/dir5/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir5/speex.wav,1.242277805
Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir5/speex.wav,1.429565383
Genspeech/OpusNet_listening_test/vec18/dir5/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir5/speex.wav,1.14925156
Genspeech/LPCNet_listening_test/mfall/dir6/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir6/speex.wav,1.283835303
Genspeech/OpusNet_listening_test/mfall/dir6/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir6/speex.wav,1.179048699
Genspeech/LPCNet_listening_test/vec18/dir6/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir6/speex.wav,1.395027164
Genspeech/OpusNet_listening_test/vec18/dir6/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir6/speex.wav,1.528863937
Genspeech/LPCNet_listening_test/mfall/dir7/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir7/speex.wav,1.404927564
Genspeech/OpusNet_listening_test/mfall/dir7/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir7/speex.wav,1.312544107
Genspeech/LPCNet_listening_test/vec18/dir7/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir7/speex.wav,1.460522513
Genspeech/OpusNet_listening_test/vec18/dir7/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir7/speex.wav,1.125
Genspeech/LPCNet_listening_test/mfall/dir8/ref.wav,Genspeech/LPCNet_listening_test/mfall/dir8/speex.wav,1.298537535
Genspeech/OpusNet_listening_test/mfall/dir8/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir8/speex.wav,1.303007966
Genspeech/LPCNet_listening_test/vec18/dir8/ref.wav,Genspeech/LPCNet_listening_test/vec18/dir8/speex.wav,1.365713355
Genspeech/OpusNet_listening_test/vec18/dir8/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir8/speex.wav,1.262977306
Genspeech/OpusNet_listening_test/mfall/dir1/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir1/lpcn.wav,3.130606422
Genspeech/OpusNet_listening_test/vec18/dir1/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir1/lpcn.wav,3.043356342
Genspeech/OpusNet_listening_test/mfall/dir2/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir2/lpcn.wav,3.409491325
Genspeech/OpusNet_listening_test/vec18/dir2/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir2/lpcn.wav,3.237960807
Genspeech/OpusNet_listening_test/mfall/dir3/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir3/lpcn.wav,2.928669057
Genspeech/OpusNet_listening_test/vec18/dir3/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir3/lpcn.wav,3.401504065
Genspeech/OpusNet_listening_test/mfall/dir4/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir4/lpcn.wav,3.702602185
Genspeech/OpusNet_listening_test/vec18/dir4/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir4/lpcn.wav,3.297682163
Genspeech/OpusNet_listening_test/mfall/dir5/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir5/lpcn.wav,2.526143526
Genspeech/OpusNet_listening_test/vec18/dir5/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir5/lpcn.wav,2.661952967
Genspeech/OpusNet_listening_test/mfall/dir6/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir6/lpcn.wav,3.163041515
Genspeech/OpusNet_listening_test/vec18/dir6/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir6/lpcn.wav,3.072714977
Genspeech/OpusNet_listening_test/mfall/dir7/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir7/lpcn.wav,2.770067975
Genspeech/OpusNet_listening_test/vec18/dir7/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir7/lpcn.wav,2.365900806
Genspeech/OpusNet_listening_test/mfall/dir8/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir8/lpcn.wav,3.25942258
Genspeech/OpusNet_listening_test/vec18/dir8/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir8/lpcn.wav,3.214689889
Genspeech/OpusNet_listening_test/mfall/dir1/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir1/opus6.wav,1.71777883
Genspeech/OpusNet_listening_test/vec18/dir1/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir1/opus6.wav,1.97512892
Genspeech/OpusNet_listening_test/mfall/dir2/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir2/opus6.wav,1.43199682
Genspeech/OpusNet_listening_test/vec18/dir2/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir2/opus6.wav,2.000542857
Genspeech/OpusNet_listening_test/mfall/dir3/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir3/opus6.wav,1.70151828
Genspeech/OpusNet_listening_test/vec18/dir3/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir3/opus6.wav,1.884172887
Genspeech/OpusNet_listening_test/mfall/dir4/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir4/opus6.wav,1.709548714
Genspeech/OpusNet_listening_test/vec18/dir4/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir4/opus6.wav,1.690654189
Genspeech/OpusNet_listening_test/mfall/dir5/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir5/opus6.wav,1.536894372
Genspeech/OpusNet_listening_test/vec18/dir5/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir5/opus6.wav,1.656299537
Genspeech/OpusNet_listening_test/mfall/dir6/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir6/opus6.wav,1.5768405
Genspeech/OpusNet_listening_test/vec18/dir6/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir6/opus6.wav,1.805412026
Genspeech/OpusNet_listening_test/mfall/dir7/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir7/opus6.wav,1.863130774
Genspeech/OpusNet_listening_test/vec18/dir7/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir7/opus6.wav,1.68573973
Genspeech/OpusNet_listening_test/mfall/dir8/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir8/opus6.wav,1.7256095830000002
Genspeech/OpusNet_listening_test/vec18/dir8/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir8/opus6.wav,1.649346871
Genspeech/OpusNet_listening_test/mfall/dir1/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir1/wavn.wav,3.631310492
Genspeech/OpusNet_listening_test/vec18/dir1/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir1/wavn.wav,4.032621345
Genspeech/OpusNet_listening_test/mfall/dir2/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir2/wavn.wav,4.515683682
Genspeech/OpusNet_listening_test/vec18/dir2/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir2/wavn.wav,3.431291336
Genspeech/OpusNet_listening_test/mfall/dir3/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir3/wavn.wav,4.086055434
Genspeech/OpusNet_listening_test/vec18/dir3/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir3/wavn.wav,3.959532916
Genspeech/OpusNet_listening_test/mfall/dir4/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir4/wavn.wav,4.539774986
Genspeech/OpusNet_listening_test/vec18/dir4/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir4/wavn.wav,4.017158907
Genspeech/OpusNet_listening_test/mfall/dir5/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir5/wavn.wav,3.755301912
Genspeech/OpusNet_listening_test/vec18/dir5/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir5/wavn.wav,3.88462889
Genspeech/OpusNet_listening_test/mfall/dir6/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir6/wavn.wav,4.0157363
Genspeech/OpusNet_listening_test/vec18/dir6/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir6/wavn.wav,4.003241578
Genspeech/OpusNet_listening_test/mfall/dir7/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir7/wavn.wav,3.962085601
Genspeech/OpusNet_listening_test/vec18/dir7/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir7/wavn.wav,3.4731283360000003
Genspeech/OpusNet_listening_test/mfall/dir8/ref.wav,Genspeech/OpusNet_listening_test/mfall/dir8/wavn.wav,3.961081797
Genspeech/OpusNet_listening_test/vec18/dir8/ref.wav,Genspeech/OpusNet_listening_test/vec18/dir8/wavn.wav,4.209914321
